time m <n0> <n1>  nActive
33.8 109 0.52582222419 0.506180211682 35
33.9 108 0.525471475684 0.506096281327 35
34 108 0.525125713547 0.506014546891 35
34.1 107 0.524784854448 0.505934966686 35
34.2 109 0.524448809004 0.505857460369 36
34.3 110 0.524117491567 0.505781921028 36
34.4 111 0.523790817981 0.505708205824 36
34.5 110 0.52346870548 0.505636155931 36
34.6 111 0.523151072311 0.505565594596 36
34.7 109 0.522837840899 0.505496335599 36
34.8 111 0.522528936892 0.505428193771 36
34.9 112 0.52222429152 0.505360977182 36
35 111 0.521923837831 0.505294512318 36
35.1 112 0.521627511144 0.505228636422 36
35.2 112 0.521335253631 0.505163199227 36
35.3 112 0.521047009918 0.505098077272 36
35.4 112 0.520762731915 0.505033163892 36
35.5 113 0.520482374254 0.504968379147 36
35.6 113 0.520205896627 0.504903670495 36
35.7 115 0.519933261108 0.50483900102 36
35.8 117 0.519664437425 0.504774357009 36
35.9 117 0.519399399395 0.504709751009 36
36 116 0.519138118522 0.504645198914 36
36.1 117 0.518880578903 0.504580738995 36
36.2 117 0.518626764524 0.504516407803 36
36.3 117 0.518376661133 0.504452257174 36
36.4 117 0.518130257182 0.50438833103 36
36.5 118 0.517887543873 0.50432467426 36
36.6 117 0.517648515376 0.504261324158 36
36.7 117 0.517413166685 0.504198306662 36
36.8 117 0.517181494895 0.504135640427 36
36.9 119 0.516953497061 0.504073329922 36
37 118 0.516729168026 0.504011368309 36
37.1 119 0.516508506679 0.503949728474 36
37.2 121 0.516291507941 0.503888386716 36
37.3 120 0.516078166699 0.50382729677 36
37.4 119 0.515868478006 0.503766405776 36
37.5 120 0.515662432045 0.503705660286 36
37.6 119 0.515460019752 0.503645002762 36
37.7 123 0.515261226943 0.503584372408 36
37.8 121 0.515066042287 0.503523715761 36
37.9 120 0.514874443237 0.503462995781 36
38 122 0.51468641014 0.503402175292 36
38.1 123 0.514501916993 0.503341241928 36
38.2 121 0.514320935912 0.50328018695 36
38.3 123 0.514143435708 0.503219026643 36
38.4 124 0.51396938298 0.50315779764 36
38.5 122 0.513798740908 0.503096544819 36
38.6 123 0.513631465973 0.503035344109 36
38.7 125 0.513467516018 0.502974278623 36
38.8 122 0.513306844326 0.50291344778 37
38.9 123 0.513149403318 0.502852966645 37
39 125 0.512995142704 0.502792954161 37
39.1 124 0.512844009538 0.502733539876 37
39.2 125 0.512695949937 0.502674845784 37
39.3 126 0.512550905028 0.502617000797 37
39.4 127 0.512408822535 0.502560124501 37
39.5 128 0.512269645152 0.502504323747 37
39.6 128 0.512133316969 0.502449689762 37
39.7 127 0.511999782385 0.502396303252 37
39.8 129 0.511868986523 0.502344217601 37
39.9 128 0.511740872394 0.502293472554 37
40 127 0.511615390394 0.502244077145 37
40.1 130 0.511492489805 0.502196021322 37
40.2 130 0.511372120356 0.502149273372 37
40.3 129 0.511254235887 0.502103773487 37
40.4 130 0.511138793169 0.502059449121 37
40.5 131 0.51102574697 0.502016207782 37
40.6 131 0.510915059501 0.501973944428 37
40.7 135 0.510806693399 0.501932536449 37
40.8 132 0.510700613727 0.501891860272 37
40.9 134 0.5105967906 0.501851784817 37
41 137 0.510495194222 0.50181218063 37
41.1 135 0.510395798553 0.501772920665 37
41.2 136 0.510298579327 0.501733890932 37
41.3 136 0.510203516747 0.501694978403 37
41.4 138 0.510110588511 0.501656096822 37
41.5 137 0.510019780454 0.501617164995 37
41.6 137 0.509931076414 0.501578125992 37
41.7 138 0.509844461555 0.501538935239 37
41.8 141 0.509759923204 0.501499576582 37
41.9 143 0.509677450608 0.501460042831 37
42 140 0.509597031446 0.501420348896 37
42.1 140 0.509518658909 0.501380526594 37
42.2 140 0.509442320963 0.501340623581 38
42.3 142 0.509368006186 0.501300696126 37
42.4 140 0.509295706412 0.501260807874 37
42.5 142 0.50922541255 0.50122103216 37
42.6 143 0.509157110524 0.501181447598 37
42.7 143 0.509090789254 0.501142128975 37
42.8 143 0.509026439768 0.501103146764 37
42.9 142 0.508964044929 0.501064572516 37
43 142 0.508903590096 0.501026469695 37
43.1 142 0.508845057753 0.500988888072 37
43.2 143 0.50878842799 0.500951874119 37
43.3 143 0.508733682077 0.500915459522 37
43.4 142 0.508680798185 0.500879658288 37
43.5 143 0.508629748942 0.500844493192 37
43.6 143 0.508580511348 0.500809958577 37
43.7 145 0.508533055987 0.500776043288 37
43.8 148 0.508487353552 0.500742734357 37
43.9 150 0.508443371233 0.500710009232 37
44 147 0.508401075194 0.500677845412 37
44.1 144 0.508360430502 0.500646215423 37
44.2 147 0.508321398152 0.50061508675 37
44.3 149 0.508283938509 0.500584445248 37
44.4 148 0.508248014981 0.50055426523 38
44.5 150 0.508213585104 0.500524532016 38
44.6 153 0.508180605881 0.5004952397 38
44.7 148 0.508149035086 0.500466385107 38
44.8 149 0.508118825828 0.500437979173 38
44.9 146 0.508089937792 0.500410036034 37
45 148 0.508062328555 0.500382573408 38
45.1 148 0.508035952183 0.500355623615 37
45.2 149 0.50801076527 0.500329220919 37
45.3 149 0.507986726459 0.500303400629 37
45.4 149 0.50796379407 0.500278204934 37
45.5 151 0.507941928498 0.500253666484 37
45.6 150 0.507921091509 0.500229823266 37
45.7 151 0.507901244393 0.500206707967 37
45.8 151 0.507882352819 0.500184342243 39
45.9 152 0.507864385417 0.500162742742 37
46 150 0.507847307298 0.500141918476 38
46.1 152 0.507831093828 0.500121864846 38
46.2 152 0.507815714129 0.50010257033 38
46.3 150 0.507801146006 0.500084002622 38
46.4 151 0.507787367258 0.500066126619 38
46.5 151 0.507774360882 0.500048889408 38
46.6 154 0.507762107939 0.500032232217 38
46.7 152 0.507750595045 0.500016085433 38
46.8 151 0.507739807017 0.500000372768 38
46.9 150 0.507729738455 0.499985006779 38
47 153 0.507720374027 0.499969912563 38
47.1 153 0.507711710578 0.499955001309 38
47.2 151 0.507703740381 0.499940195026 38
47.3 152 0.507696461379 0.499925411849 38
47.4 150 0.507689870487 0.499910577932 38
47.5 153 0.507683968542 0.499895631688 38
47.6 154 0.507678749201 0.499880525489 38
47.7 158 0.507674211543 0.499865220551 38
47.8 164 0.507670361288 0.499849684832 38
47.9 154 0.507667192155 0.499833913994 38
48 159 0.507664705658 0.499817904059 38
48.1 154 0.507662896128 0.499801676675 38
48.2 159 0.507661765967 0.499785260441 38
48.3 155 0.507661310135 0.499768694961 38
48.4 153 0.507661525876 0.499752038448 38
48.5 154 0.507662407373 0.499735351388 38
48.6 155 0.507663947083 0.499718703651 38
48.7 154 0.50766613756 0.499702167324 38
48.8 155 0.507668969983 0.499685818447 38
48.9 155 0.507672433708 0.499669735874 38
49 154 0.507676514859 0.49965399337 38
49.1 154 0.507681198079 0.499638661489 38
49.2 154 0.50768647016 0.49962380503 38
49.3 156 0.507692311516 0.499609478425 38
49.4 159 0.507698701587 0.499595733294 38
49.5 163 0.50770562083 0.499582605218 39
49.6 158 0.507713048454 0.499570124713 39
49.7 158 0.507720959341 0.499558304045 39
49.8 163 0.507729329511 0.499547154276 39
49.9 160 0.507738128969 0.499536670604 39
50 159 0.507747334482 0.49952683892 39
50.1 160 0.507756915505 0.499517644688 39
50.2 162 0.50776684516 0.499509058264 39
50.3 161 0.507777091227 0.499501049504 39
50.4 159 0.507787624994 0.499493584634 39
50.5 160 0.507798415494 0.499486627744 39
50.6 159 0.507809435777 0.499480144671 39
50.7 163 0.507820651983 0.499474100692 39
50.8 163 0.507832033812 0.499468463632 39
50.9 161 0.507843548416 0.499463209442 39
51 165 0.507855172734 0.499458310846 39
51.1 162 0.5078668779 0.499453752954 39
51.2 164 0.507878638246 0.499449519989 39
51.3 164 0.507890426563 0.499445608558 39
51.4 163 0.507902215219 0.499442019514 39
51.5 161 0.507913985009 0.499438745566 39
51.6 162 0.507925711982 0.499435795242 39
51.7 161 0.507937374918 0.499433179136 39
51.8 164 0.507948957907 0.499430900423 39
51.9 167 0.507960447291 0.499428969006 39
52 166 0.507971822609 0.499427391085 39
52.1 167 0.507983076796 0.499426172881 39
52.2 166 0.507994195701 0.499425310819 39
52.3 166 0.508005169226 0.499424803499 39
52.4 167 0.508015989839 0.499424643753 39
52.5 165 0.508026655964 0.499424810826 39
52.6 167 0.50803716291 0.499425278869 39
52.7 167 0.508047506436 0.499426021754 39
52.8 170 0.508057686526 0.499427006622 39
