# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
7.8 304 34 33.04665 -0.121130992047 -0.433515960181 0.500000292929 -0.236880773734 -1.68271510542e-07 -0.101749861776 -0.0814236415391
7.9 308 35 32.586368 -0.122051673314 -0.432616515636 0.500000289042 -0.236880783457 -2.15865807993e-07 -0.101749851241 -0.0815192360982
8 312 34 36.087441 -0.122966244881 -0.431715743938 0.500000284402 -0.236880865249 -2.47425010418e-07 -0.101749870263 -0.0816172543403
8.1 316 33 34.953291 -0.123874484589 -0.430813481028 0.500000279186 -0.236881007911 -2.71234627864e-07 -0.101749914384 -0.0817180895434
8.2 320 40 42.75362 -0.124776155209 -0.429909601987 0.500000273593 -0.236881210951 -2.8670902253e-07 -0.101749982898 -0.0818220781077
8.3 324 33 32.106302 -0.125671015898 -0.429004013273 0.500000267847 -0.23688146678 -2.90330132552e-07 -0.101750073616 -0.0819294929233
8.4 328 34 34.281621 -0.126558817768 -0.428096661172 0.500000262377 -0.236881772878 -2.6552766234e-07 -0.101750185968 -0.0820405491183
8.5 332 35 38.641148 -0.1274393211 -0.427187522017 0.500000257401 -0.236882125105 -2.35737023398e-07 -0.101750317372 -0.0821554001952
8.6 336 34 38.844078 -0.128312271566 -0.426276618109 0.500000253295 -0.236882510105 -1.73663274514e-07 -0.10175046379 -0.0822741371522
8.7 340 33 38.296422 -0.12917744048 -0.425363987666 0.500000250004 -0.236882936045 -1.33490990078e-07 -0.101750627074 -0.0823968140987
8.8 344 31 41.589719 -0.130034601759 -0.424449708168 0.500000248089 -0.236883395852 -7.02948602244e-08 -0.10175080488 -0.082523410011
8.9 348 35 40.608314 -0.130883539478 -0.423533885519 0.500000247787 -0.236883877733 2.33163761718e-08 -0.101750993989 -0.0826538599829
9 352 34 42.159146 -0.131724049267 -0.422616655278 0.500000249489 -0.236884368958 1.28781444555e-07 -0.101751185854 -0.0827880509392
9.1 356 34 43.19572 -0.132555952233 -0.421698175294 0.500000253101 -0.236884893307 2.30083360902e-07 -0.101751394559 -0.0829258267455
9.2 360 35 51.37643 -0.133379082136 -0.420778626812 0.500000258825 -0.236885407387 3.44017136257e-07 -0.101751599234 -0.0830669765775
