bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
22.4  0.10774 0.157033 12 8   1.20815 0.00946209 29   0.00760016
22.5  0.120808 0.15092 12 8   1.20954 0.00946109 29   0.00710419
22.6  0.120717 0.14924 12 8   1.21022 0.00943859 29   0.0104619
22.7  0.127244 0.149753 12 8   1.2106 0.00946493 29   0.00731632
22.8  0.127236 0.149596 12 8   1.21019 0.00945572 29   0.00753344
22.9  0.114132 0.1497 12 8   1.21079 0.00944788 29   0.00810001
23  0.13375 0.1503 12 8   1.21169 0.0094692 29   0.0114288
23.1  0.120823 0.150836 12 8   1.21149 0.0094525 29   0.0111112
23.2  0.113553 0.152899 12 8   1.21119 0.00944904 29   0.0175672
23.3  0.127404 0.150225 12 8   1.21096 0.00948032 29   0.00866327
23.4  0.10705 0.148026 12 8   1.21127 0.00942962 29   0.0104747
23.5  0.113797 0.147156 12 8   1.21175 0.00945598 29   0.0112991
23.6  0.133484 0.157641 12 8   1.21228 0.00944555 29   0.0117113
23.7  0.120379 0.160241 12 8   1.2131 0.00941937 29   0.0320149
23.8  0.133906 0.154127 12 8   1.21433 0.0095915 29   0.0263506
23.9  0.120636 0.15352 12 8   1.21606 0.00942646 29   0.0492145
24  0.120858 0.15126 12 8   1.21681 0.00945427 29   0.0199868
24.1  0.121247 0.159772 12 8   1.21885 0.00943006 29   0.0201781
24.2  0.121566 0.156512 12 8   1.21707 0.00947047 29   0.0463289
24.3  0.121306 0.156572 12 8   1.21793 0.00943811 29   0.0104403
24.4  0.101073 0.159006 12 8   1.21834 0.009495 29   0.00593847
24.5  0.114932 0.155718 12 8   1.2192 0.0094745 29   0.0056008
24.6  0.114994 0.169106 12 8   1.21827 0.00944042 29   0.00500644
24.7  0.121501 0.162639 12 8   1.21946 0.00948314 29   0.00505855
24.8  0.107807 0.160172 12 8   1.22003 0.00948257 29   0.0401387
24.9  0.127754 0.159559 12 8   1.22025 0.00945519 29   0.0391489
25  0.114264 0.15766 12 8   1.2196 0.00942563 29   0.0381958
25.1  0.121273 0.163212 12 8   1.21912 0.00944461 29   0.0372891
25.2  0.121639 0.159615 12 8   1.21883 0.00945476 29   0.033523
25.3  0.114537 0.161057 12 8   1.21828 0.00946496 29   0.0356554
25.4  0.107796 0.148333 12 8   1.21914 0.00946942 29   0.0349471
25.5  0.121495 0.164262 12 8   1.2201 0.00948647 29   0.0343228
25.6  0.114687 0.16088 12 8   1.22024 0.00947587 29   0.0337903
25.7  0.115038 0.15322 12 8   1.22006 0.00943999 29   0.0258713
25.8  0.114696 0.161884 12 8   1.22108 0.00944371 29   0.0122136
25.9  0.114697 0.164542 12 8   1.22037 0.00947621 29   0.00862335
26  0.0944034 0.153333 12 9   1.22136 0.00943857 29   0.00214606
26.1  0.10813 0.156424 12 9   1.22043 0.00941761 29   0.00313723
26.2  0.107942 0.149473 12 9   1.22047 0.00943746 29   0.00173474
26.3  0.101671 0.154689 12 9   1.22016 0.00947178 29   0.00444934
26.4  0.114792 0.15679 12 9   1.22187 0.00943788 29   0.00458706
26.5  0.115044 0.168176 12 9   1.22117 0.00950953 29   0.0335917
26.6  0.0945327 0.152695 12 8   1.22057 0.00946637 29   0.034031
26.7  0.115289 0.165843 12 8   1.22224 0.00947847 29   0.00825563
26.8  0.101156 0.161441 12 8   1.22217 0.00945195 29   0.00673364
26.9  0.114966 0.155512 12 8   1.22303 0.00943672 29   0.00598551
27  0.108448 0.159419 12 8   1.22278 0.00949581 29   0.0112804
27.1  0.108318 0.155836 12 8   1.22257 0.00945173 29   0.00156506
27.2  0.114703 0.151952 12 8   1.22512 0.00945817 29   0.00719856
27.3  0.108143 0.153238 12 8   1.22842 0.0094616 29   0.0103638
27.4  0.10856 0.158021 12 8   1.22725 0.00948255 29   0.0390652
27.5  0.121343 0.152682 12 8   1.22919 0.00943629 29   0.00699641
27.6  0.114874 0.153177 12 8   1.22755 0.00945904 29   0.0104628
27.7  0.121566 0.152272 12 8   1.22621 0.00940956 29   0.0107036
27.8  0.115335 0.158155 12 8   1.22589 0.00952975 29   0.00992178
27.9  0.115157 0.15403 12 8   1.22522 0.00944695 30   0.0029764
28  0.107764 0.145226 12 8   1.22686 0.00946989 30   0.0427922
28.1  0.122129 0.169377 12 8   1.23342 0.00945341 30   0.0174003
28.2  0.115187 0.152737 12 8   1.22801 0.0094794 30   0.00623046
28.3  0.121651 0.157701 12 8   1.22856 0.00946354 30   0.0441595
28.4  0.11496 0.159311 12 8   1.22802 0.00947251 30   0.0183781
28.5  0.12794 0.163084 12 8   1.2284 0.00949659 30   0.0207006
