# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=star
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
47.4 200 125 9.785512 0.474876661433 0.505320478606
47.5 200 125 9.855742 0.474889853296 0.505292753573
47.6 200 125 9.862921 0.474904165064 0.505265991763
47.7 200 125 9.906096 0.474919544606 0.505240068761
47.8 200 125 9.965544 0.474935941372 0.505214837583
47.9 200 126 10.002728 0.474953306454 0.505190137864
48 200 127 10.037169 0.474971592575 0.505165802683
48.1 200 127 10.139463 0.474990754596 0.505141667312
48.2 200 127 10.115777 0.475010750796 0.505117576358
48.3 200 127 10.187574 0.475031540664 0.505093395505
48.4 200 128 10.23902 0.475053086494 0.505069012917
48.5 200 129 10.213879 0.475075354021 0.505044345707
48.6 200 129 10.218783 0.475098310669 0.505019343891
48.7 200 129 10.226444 0.475121926959 0.504993992751
48.8 200 129 10.305379 0.475146177971 0.504968314558
48.9 200 129 10.259775 0.475171041151 0.504942367263
49 200 129 10.358066 0.475196496632 0.504916241866
49.1 200 129 10.36546 0.475222528761 0.504890057979
49.2 200 129 10.330398 0.47524912521 0.504863959356
49.3 200 129 10.355257 0.47527627686 0.504838108106
49.4 200 130 10.391516 0.475303977146 0.504812676063
49.5 200 130 10.391193 0.475332224317 0.504787840934
49.6 200 130 10.464634 0.475361018191 0.504763777079
49.7 200 130 10.509695 0.475390367339 0.504740652175
49.8 200 130 10.565944 0.475420277142 0.504718608016
49.9 200 130 10.614087 0.475450759129 0.50469776168
50 200 131 10.685414 0.475481827415 0.50467819995
50.1 200 131 10.776829 0.475513499207 0.504659974434
